1	115	64	128	81
*	131	60	153	79
*	203	43	226	74
*	239	43	258	73
*	261	20	268	29
*	273	42	292	72
*	304	40	331	70
*	345	39	360	69
*	366	37	385	68
*	423	34	454	66
*	468	33	491	65
*	531	33	563	64
*	569	53	578	62
*	627	29	658	61
*	674	31	697	61
*	687	42	693	51
*	736	31	769	60
*	782	28	813	60
*	826	32	857	62
*	868	32	894	62
*	898	51	908	62
*	64	97	69	101
*	113	122	138	152
*	142	120	185	149
*	190	119	218	146
*	221	117	244	145
*	248	115	266	145
*	268	115	290	144
*	294	113	319	141
*	321	92	345	141
*	336	112	357	140
*	370	129	382	152
*	400	109	429	157
*	430	109	454	138
*	458	92	467	137
*	481	108	503	137
*	505	89	538	136
*	551	107	572	135
*	577	106	603	136
*	616	106	642	135
*	647	105	674	133
*	677	103	704	133
*	707	103	724	132
*	726	122	738	148
*	740	104	763	132
*	777	88	795	132
*	788	83	815	132
*	818	104	844	133
*	848	103	861	134
*	865	105	887	134
*	901	85	928	135
*	930	105	953	136
*	115	184	144	241
*	145	192	162	220
*	166	175	176	219
*	179	172	202	219
*	193	189	215	218
*	226	169	238	216
*	241	188	263	217
*	266	187	294	236
*	297	170	306	213
*	309	183	324	214
*	327	168	335	212
*	340	184	383	213
*	387	183	409	211
*	419	200	432	223
*	448	180	475	228
*	476	161	486	208
*	490	180	514	208
*	517	161	549	208
*	552	179	580	208
*	582	160	615	208
*	626	178	653	224
*	655	176	682	205
*	684	176	706	205
*	716	155	744	205
*	748	175	770	204
*	785	157	812	204
*	816	177	837	205
*	841	176	884	206
*	889	178	911	207
*	913	178	941	208
*	940	191	956	198
*	117	265	136	295
*	139	264	162	293
*	165	264	180	292
*	192	262	215	291
*	218	262	244	290
*	255	260	277	289
*	281	260	303	287
*	307	241	317	285
*	320	258	344	286
*	349	275	361	299
*	365	256	382	284
*	382	237	391	250
*	395	256	416	283
*	420	254	445	283
*	461	242	475	281
*	468	232	484	241
*	477	252	505	280
*	508	251	524	280
*	527	251	556	300
*	558	251	581	279
*	606	250	628	278
*	631	233	641	277
*	645	249	669	278
*	673	235	686	277
*	685	229	701	277
*	703	267	715	289
*	726	247	750	277
*	753	248	777	277
*	783	248	806	276
*	825	228	849	277
*	843	249	865	278
*	868	248	892	277
*	895	230	907	278
*	908	250	930	279
*	933	252	956	281
*	120	325	166	368
*	180	316	201	363
*	195	335	211	363
*	214	318	224	362
*	227	333	252	362
*	257	333	284	361
*	286	313	297	359
*	300	331	322	359
*	329	350	336	357
*	349	313	384	357
*	387	326	402	357
*	421	326	445	356
*	452	325	479	354
*	481	324	508	352
*	511	324	529	352
*	547	322	570	352
*	575	323	603	351
*	605	322	632	371
*	636	321	664	351
*	668	322	679	350
*	677	321	694	349
*	699	320	715	349
*	731	319	759	367
*	760	320	786	348
*	789	320	812	349
*	838	303	850	350
*	851	302	861	316
*	862	321	884	350
*	886	315	930	351
*	934	323	956	352
*	122	409	146	438
*	149	408	175	438
*	191	387	216	436
*	206	407	226	435
*	231	406	248	435
*	263	404	289	451
*	292	404	313	433
*	316	386	343	431
*	342	383	359	430
*	361	400	389	429
*	393	399	418	429
*	424	398	441	428
*	450	379	472	427
*	463	398	485	426
*	497	394	522	443
*	525	380	534	425
*	537	395	563	443
*	567	396	588	424
*	599	394	623	442
*	626	376	639	424
*	642	394	666	422
*	668	375	698	422
*	702	393	730	421
*	732	374	764	422
*	774	392	796	422
*	798	373	809	421
*	810	375	822	421
*	824	394	847	422
*	860	393	902	423
*	906	394	928	423
*	930	375	954	424
*	942	407	958	416
*	123	481	168	510
*	173	480	194	508
*	207	458	230	507
*	222	478	243	507
*	252	458	279	506
*	283	473	298	504
*	302	475	324	504
*	325	457	353	503
*	351	453	364	458
*	355	475	377	503
*	380	473	404	502
*	409	470	424	502
*	435	471	458	501
*	462	470	487	500
*	500	448	521	498
*	514	470	536	498
*	539	468	564	497
*	567	469	590	498
*	601	448	627	497
*	618	468	644	496
*	644	448	673	496
*	677	450	686	494
*	690	466	711	495
*	714	452	754	495
*	765	453	809	495
*	819	446	843	495
*	835	466	856	495
*	860	466	886	495
*	888	464	904	496
*	905	467	929	497
*	930	447	955	497
*	942	477	957	489
*	125	551	143	582
*	146	537	155	581
*	159	551	186	600
*	189	551	213	580
*	217	551	239	579
*	252	568	263	585
*	276	549	302	578
*	305	549	333	577
*	336	531	346	576
*	349	547	365	575
*	368	548	390	576
*	405	545	428	575
*	431	545	459	574
*	463	544	473	573
*	472	544	489	572
*	492	542	506	573
*	509	542	526	572
*	529	543	552	571
*	562	521	582	570
*	575	541	597	570
*	610	540	636	589
*	638	540	655	571
*	660	540	687	569
*	690	539	716	587
*	719	539	735	568
*	741	538	764	568
*	774	538	796	567
*	799	538	816	567
*	819	539	841	568
*	844	539	865	568
*	869	539	895	568
*	898	539	919	568
*	923	540	945	569
*	945	558	958	584
*	128	624	157	672
*	159	624	184	652
*	187	624	210	652
*	229	603	254	651
*	259	622	281	650
*	310	622	321	649
*	319	621	337	649
*	338	601	347	614
*	349	620	372	648
*	375	620	403	668
*	406	601	417	647
*	420	618	436	646
*	463	616	486	645
*	490	616	517	644
*	521	615	531	644
*	529	615	546	644
*	550	612	566	644
*	568	614	586	643
*	589	614	611	643
*	632	612	660	661
*	661	612	688	641
*	690	612	711	641
*	713	593	725	640
*	729	611	756	659
*	759	611	782	641
*	786	611	808	641
*	820	610	842	640
*	844	592	872	641
*	874	612	902	640
*	904	593	930	642
*	919	612	941	642
*	945	631	953	641
*	128	680	195	739
*	179	696	191	722
*	194	696	201	721
*	206	695	228	723
*	230	676	242	723
*	243	676	254	723
*	257	694	278	723
*	282	693	300	723
*	319	692	340	721
*	343	692	365	721
*	367	691	393	720
*	398	670	420	720
*	411	691	432	719
*	436	689	453	718
*	475	688	501	718
*	506	680	517	691
*	520	671	530	716
*	535	687	559	717
*	564	686	588	716
*	592	686	612	716
*	617	686	643	715
*	647	683	662	715
*	666	685	693	714
*	697	685	723	714
*	728	685	746	714
*	767	684	793	714
*	798	685	826	713
*	830	683	857	713
*	859	684	876	713
*	888	664	915	713
*	918	685	940	713
*	941	684	959	714
*	126	769	171	799
*	175	769	197	797
*	199	750	212	797
*	214	754	221	767
*	223	750	248	796
*	251	766	272	796
*	274	766	301	795
*	305	766	323	795
*	326	765	343	795
*	344	783	356	806
*	359	764	387	812
*	388	764	413	793
*	416	746	427	792
*	437	762	464	791
*	468	761	498	791
*	504	760	530	790
*	534	760	551	790
*	562	760	583	789
*	586	739	613	789
*	615	759	631	788
*	631	759	641	788
*	644	742	654	789
*	657	759	678	788
*	683	757	693	788
*	692	758	709	788
*	712	757	738	787
*	743	738	765	786
*	769	755	785	786
*	788	746	804	776
*	790	779	798	786
*	811	756	834	786
*	846	757	873	804
*	874	746	899	785
*	903	757	930	786
*	932	757	958	807
*	128	841	156	872
*	160	841	183	871
*	197	841	222	870
*	214	856	224	869
*	229	840	257	869
*	260	839	285	869
*	289	839	306	869
*	315	839	342	887
*	344	838	361	867
*	364	838	385	867
*	389	837	415	868
*	420	836	448	865
*	452	835	478	865
*	482	835	499	864
*	521	834	548	864
*	552	834	580	863
*	583	832	609	863
*	612	832	629	862
*	643	832	666	862
*	688	829	703	862
*	707	832	735	861
*	737	831	754	860
*	756	828	772	860
*	782	830	810	859
*	814	828	840	859
*	853	810	880	859
*	882	830	899	860
*	902	830	930	859
*	932	813	943	860
*	944	827	959	860
*	127	913	155	962
*	159	914	188	943
*	191	913	216	942
*	219	913	236	941
*	246	913	268	942
*	271	912	295	941
*	300	913	328	941
*	330	894	341	940
*	344	911	360	940
*	372	911	400	939
*	403	910	428	939
*	441	909	467	938
*	471	909	499	937
*	502	906	527	936
*	531	907	549	936
*	559	907	580	935
*	583	886	608	935
*	598	906	617	935
*	621	905	638	934
*	640	888	651	933
*	654	904	697	934
*	701	905	723	934
*	726	904	743	933
*	747	892	762	920
*	751	925	757	932
*	767	886	808	932
*	812	903	834	932
*	841	902	868	931
*	871	903	894	931
*	902	881	926	931
*	916	885	943	932
*	944	900	960	932
*	128	981	157	1034
*	160	987	181	1015
*	186	986	202	1015
*	214	986	235	1014
*	239	986	260	1014
*	265	985	282	1014
*	291	983	306	1014
*	309	985	325	1013
*	328	984	350	1013
*	353	966	380	1012
*	377	962	404	1011
*	408	982	426	1011
*	437	962	465	1010
*	468	962	478	1010
*	483	981	510	1009
*	515	979	539	1009
*	544	958	571	1008
*	574	978	595	1007
*	599	978	616	1008
*	626	996	641	1014
*	659	976	688	1025
*	688	977	704	1005
*	703	976	713	1006
*	717	976	739	1005
*	753	973	768	1005
*	770	976	786	1004
*	785	975	798	1004
*	817	955	844	1004
*	847	975	868	1004
*	871	955	895	1004
*	884	975	906	1004
*	906	956	933	1004
*	935	958	946	1005
*	945	985	960	993
